tweet,hashtags,timestamp,full_url,like_count,retweet_count,language,is_about_learning
سعدت بتعليق سعادتكم دكتوره ياسمين، واسعى مع طلابنا إلى الاستفادة من ثورة #الذكاء_الاصطناعي في  تسهيل وتبسيط المحاضرات ، وباذن الله سوف نستخدم قريبا هذه الثورة التقنية في جانب البحث العلمي في علم النفس.,['#الذكاء_الاصطناعي'],29/12/2023,https://x.com/dr_salgamdi/status/1740831261575512200,1,0,ar,True
"لكل معلم ومعلمة :

#الذكاء_الاصطناعي يسهّل عليك القيام بدرس مميّز ويختصر عليك الكثير حيث يقوم بتوليد :

 شرح للمفاهيم

 اختيار الإستراتيجيات المناسبة

خطه للدرس مع الشرح",['#الذكاء_الاصطناعي'],29/12/2023,https://x.com/edu_ii5/status/1740763235530539432,451,72,ar,True
"#تعليم_القصيم 
#الذكاء_الاصطناعي 
في يوم الخميس ١٥/ ٦ / ١٤٤٥ هـ
تم تنفيذ إذاعة مميزة باستخدام الذكاء الاصطناعي عن الذكاء الاصطناعي من إعداد أ. ريم فالح الحربي","['#تعليم_القصيم', '#الذكاء_الاصطناعي']",29/12/2023,https://x.com/moe_qsm_12_0093/status/1740702543175647659,4,0,ar,True
"إنفوجرافيك | #المركز_الوطني_للتعليم_الإلكتروني يعتمد 9 أبعاد لإطار #الذكاء_الاصطناعي في التعليم الرقمي.

https://alweeam.com.sa

#أخبار_الوئام","['#المركز_الوطني_للتعليم_الإلكتروني', '#الذكاء_الاصطناعي', '#أخبار_الوئام']",28/12/2023,https://x.com/alweeamnews/status/1740439405200888297,0,0,ar,True
"إذا وجدتم هذه السلسلة من التغريدات مفيدة فآمل:

1. إعادة تغريد التغريدة المقتبسة

https://x.com/syst__em/status/1641182743877828608…

2. متابعتي 
@syst__em
للحصول على سلاسل تغريدات منتظمة حول #التقنية و #الذكاء_الاصطناعي و #التعليم","['#التقنية', '#الذكاء_الاصطناعي', '#التعليم', '']",29/03/2023,https://x.com/syst__em/status/1641183079581511694,1,1,ar,True
"يرد فريق المبشرين -أقصد بهم الفريق المتفائل بالتطور الحاصل في مجال #الذكاء_الاصطناعي التوليدي-:

- يجب أن ننظر إلى تطوير #الذكاء_الاصطناعي بتوازن، فالتقدم الذي يجلبه في مجال التعليم والرعاية الصحية والغذاء يساعد على تحسن معيشة الناس.","['#الذكاء_الاصطناعي', '#الذكاء_الاصطناعي']",29/03/2023,https://x.com/syst__em/status/1641182752732061697,0,0,ar,True
"#عن_بعد |
نفذ #تعليم_جازان برنامجًا تدريبيًا عن ""تعزيز مهارة القراءة باستخدام #الذكاء_الاصطناعي""لشاغلات الوظائف التعليمية؛ بهدف التعريف بأداة ""تقدم القراءة والقارئ الشامل"" ، التي تساعد المعلمات على تحليل ومتابعة تطور الطالبات في القراءة .

#وزارة_التعليم","['#عن_بعد', '#تعليم_جازان', '#الذكاء_الاصطناعي', '#وزارة_التعليم']",29/03/2023,https://x.com/MOE_JZN/status/1641164090746757122,75,172,ar,True
"أنظمة #الذكاء_الاصطناعي تسحب البساط بشكل مخيف من تحت أجل البشر، فإن لم يتم تدارك الأمر بتوجيه المناهج التعليمية والبرامج التدريبية والإرشادية نحوها بكثافة إستعداداً لما هو قادم فستؤول الأوضاع لمستويات يصعب حينها إستعادة التوازن!
#نبيل_آل_محمود","['#الذكاء_الاصطناعي', '#نبيل_آل_محمود']",29/03/2023,https://x.com/NabeelAlMahmood/status/1641000861345169409,4,1,ar,True
"انا سعيدة بما حققته ChatGPT خلال فتره قصيرة وكيف صارت جزء من وقت كثير ناس من خلفيات مختلفة المهندسين والكتاب والمحاميين والمبرمجين وأولهم انا والطلاب والمعلمين  

ثريد 100/100 
 
#ChatGPT #الذكاء_الاصطناعي","['#ChatGPT', '#الذكاء_الاصطناعي']",29/03/2023,https://x.com/RehamBustani/status/1640872135303331842,20,3,ar,True
"سباق محموم في مجال #التعليم للاستفادة من #الذكاء_الاصطناعي وتحديدا #ChatGPT 
ساشير لأبرز مثالين في ذلك سواء كنت مهتما بالتعليم او تطوير المنتجات راح تستفيد من المثالين.
الأول: خان ميجو khanmigo من منصة خان أكاديمي التعليمية في أمريكا https://youtu.be/rnIgnS8Susg ومازال تحت التجربة","['#التعليم', '#الذكاء_الاصطناعي', '#ChatGPT']",28/03/2023,https://x.com/muath2/status/1640741908040302595,85,8,ar,True
"لا تستخدم #ChatGPT لتصميم برنامج للاعب محترف ولا حتى هاوي فالارقام غير دقيقة عن تجربة شخصية اتحدث.
.
الأساس هو أن تتعلم وتدرس الكمياء الحيوية وطريقة تعامل الجسم معها كمركبات كميائية ومن ثم تحويل المعلومات النظرية لتطبيقات عملية ثم قد يساعدك #الذكاء_الاصطناعي في توليد أفكار لها.","['#ChatGPT', '#الذكاء_الاصطناعي']",28/03/2023,https://x.com/layla_shehabi/status/1640659262018928642,2,2,ar,True
"في إطار إعداد وتزويد الطلاب بالمهارات اللازمة لسوق العمل
سعدتُ بتقديم دورة بعنوان“تعزيز مهارات القراءة باستخدام الذكاء الاصطناعي” تستهدف #معلمات و #مشرفات 
تقدمه إدارة التدريب والابتعاث #تعليم_الرياض 
ضمن برامج #وزارة_التعليم بالتعاون مع #Microsoft
 #الذكاء_الاصطناعي #ليلى_البيشي","['#معلمات', '#مشرفات', '#تعليم_الرياض', '#وزارة_التعليم', '#Microsoft', '#الذكاء_الاصطناعي', '#ليلى_البيشي']",27/03/2023,https://x.com/lailabntAli/status/1640324829281656832,12,5,ar,True
"مسارات عطاثون:
مسار #القرآن_الكريم:
توظيف #الذكاء_الاصطناعي في تعليم #القرآن.
ابتكار تقنيات جديدة تساهم في تعليم القرآن الكريم.
التسميع دون تدخل بشري والتصحيح التلقائي.","['#القرآن_الكريم', '#الذكاء_الاصطناعي', '#القرآن']",26/03/2023,https://x.com/rowadthon/status/1640082787960070149,0,0,ar,True
"لا تستخدم #ChatGPT في البحث  الاكاديمي، سيخلق لك اقتباسات عن مقالات غير موجودة أصلا.

بدلاً من ذلك ، استخدم Consensus - محرك بحث مدعوم بـ #الذكاء_الاصطناعي  مصمم #للأكاديميين.

اطرح عليه سؤالاً وسيمنحك ملخصًا لأهم 5-10 أوراق علمية حقيقية منشورة في #مجلات علمية .

تابع معي","['#ChatGPT', '#الذكاء_الاصطناعي', '#للأكاديميين', '#مجلات']",26/03/2023,https://x.com/nori2009int/status/1639983610328498176,4708,541,ar,True
" مجانية مع شهادة 
 مقدمة في #الذكاء_الاصطناعي
 الأحد ٢٦ مارس
 10 م 
 التسجيل:
https://zoom.us/meeting/register/tJwofuygqDIpG9GJ7vy4M-9YhgZJ9mbXIp0w…

 #الواقع_الافتراضي والمعزز و #العالم_الافتراضي
 الاثنين ٢٧ مارس
 10 م ","['#الذكاء_الاصطناعي', '#الواقع_الافتراضي', '#العالم_الافتراضي']",26/03/2023,https://x.com/dwratti/status/1639954415476940802,10,3,ar,True
"ورشة عمل حول ""إستخدام #الذكاء_الاصطناعي فى التعليم""
أونلاين عبر منصة zoom
 الجمعة والسبت الموافق 31 مارس ،1 ابريل 2023.
 الساعة 9:00 إلي 12:00 مساءً
رسوم الاشتراك 300 ج
 العدد محدود الأولية للدفع المسبق
 سجل الان https://docs.google.com/forms/d/e/1FAIpQLSdlurH128QZkd3eJ5Svwpz42yv9DIPqCxHiSPxq1-YfRpL_bA/viewform?usp=sf_link…",['#الذكاء_الاصطناعي'],25/03/2023,https://x.com/edu_most1/status/1639642141478596609,0,0,ar,True
"30 مليار دولار استثمار الـ AI في التعليم 2032
#تعليم #الذكاء_الاصطناعي #AI #education #technology #fifreedomtoday 
#انفو_فايننشل_فريدوم","['#تعليم', '#الذكاء_الاصطناعي', '#AI', '#education', '#technology', '#fifreedomtoday', '#انفو_فايننشل_فريدوم']",25/03/2023,https://x.com/fifreedomtoday/status/1639598011490906112,3,0,ar,True
"لذلك أصبح من الواجب الاستفادة من عائدات #النفط لتطوير المعرفة وتعزيز المناهج الدراسية للطلبة ، والولوج إلى تقانة #الذكاء_الاصطناعي والاهتمام بالمسارات الاقتصادية الأخرى كالصناعة ، اللوجستيات ، التعدين ، السياحة ، الزراعة والثروة السمكية ، وتعزيز تجارة الخدمات.
#سلطنة_عُمان","['#النفط', '#الذكاء_الاصطناعي', '#سلطنة_عُمان']",25/03/2023,https://x.com/YousufAl_Hooti/status/1639549217185095680,16,3,ar,True
"من ابرز الادوار التي سيلعبها الذكاء الاصطناعي هي في مجالي الصحة والتعليم. 
في مجال التعليم،الرهان على الذكاء الاصطناعي ليكون تأثيره اكثر من تأثير الكمبيوتر... سواء من ناحية التأقلم على اهتمامات المتلقي وطريقة تعلمه المفضلة وقياس الفهم ودرجة الاهتمام بالمادة...
#الذكاء_الاصطناعي",['#الذكاء_الاصطناعي'],25/03/2023,https://x.com/hajjar_anis/status/1639455797427011590,0,0,ar,True
بفضلٍ من ربي ومن ثم جميع عرابيّ الذين اخصهم بالدعاء حصلت على المركز الثالث بأفضل مقترح بحثي بتقنيات #الذكاء_الاصطناعي والأجمل من ذلك هي التجربة الجميلة بجامعتي التي أكن لها حُباً بين ثنايا الروح.,['#الذكاء_الاصطناعي'],22/03/2023,https://x.com/amalalhdisan/status/1638479045879840768,1,0,ar,True
"موقع MIT Open Course Ware يوفر دورات مجانية في: 

علوم #الحاسب
علم البيانات 
#تعلم_الآلة
#خوارزميات
#الذكاء_الاصطناعي 
#جافا
#بايثون
تطوير #الويب","['#الحاسب', '#تعلم_الآلة', '#خوارزميات', '#الذكاء_الاصطناعي', '#جافا', '#بايثون', '#الويب', '']",22/03/2023,https://x.com/Ameera_Eng9/status/1638462804955996160,1,0,ar,True
"عندك عرض تقديمي في #البوربوينت وتحتاج احد يساعدك ؟ هذي خدمة اسمها http://tome.app تعتمد على #الذكاء_الاصطناعي تسوي لك العرض التقديمي وانت عليك تقراه وتسوي تعديلات بسيطة عليه 

بتريح طلاب #الجامعة ","['#البوربوينت', '#الذكاء_الاصطناعي', '#الجامعة']",21/03/2023,https://x.com/7Alsabe/status/1638260561665314818,3465,428,ar,True
"على ضفاف النيل، سعدت بتقديم ورقة التحول الرقمي في الموارد البشرية والتدريب باستخدام الذكاء الاصطناعي - مركز النجم الثاقب، ولحضور أنيق في منتجع الراكوبة السياحي ب #أمدرمان 2023/03/21
#السودان #التحول_الرقمي #الذكاء_الاصطناعي #النيل
#sudan #digitaltransformation #uae  #ai #draminco","['#أمدرمان', '#السودان', '#التحول_الرقمي', '#الذكاء_الاصطناعي', '#النيل', '#sudan', '#digitaltransformation', '#uae', '#ai', '#draminco']",21/03/2023,https://x.com/draminco/status/1638224486871736320,3,1,ar,True
