tweet,hashtags,timestamp,full_url,like_count,retweet_count,language,is_about_learning
"● 20 مشروع للتعلم العميق باستخدام البايثون: 

https://drive.google.com/file/d/1HI9SbYkt3I_qV3onO2riWzfI8_tpDRp5/view?usp=drivesdk… 

● مقدمة في الذكاء الاصطناعي التوليدي: 

https://drive.google.com/file/d/1_w9uwrIzBrx0w7DdUtuZXwSdAD-7KU0o/view?usp=drivesdk… 

● النماذج اللغوية الكبيرة:",[],29/12/2023,https://x.com/TheDatalystOne/status/1740749888047005891,0,0,ar,True
" جوجل جعلت تعلم الذكاء الأصطناعي مجانى 

من خلال ١٠ كورسات في الذكاء الاصطناعي التوليدي من جوجل
 مجانًا 100 % مع فرصة الحصول على شهادة إتمام. 
من خلال منهج تعليمي مجاني 100%  - 
https://bit.ly/3IWG65b",[],29/12/2023,https://x.com/p_4all/status/1740700646469480907,12,4,ar,True
أصبح من السهل ان تصمم قصة رقمية عبر Canva و بصوت الراوي (الحكواتي) عبر تقنيات الذكاء الاصطناعي التوليدي المدعمة بالموقع _تابعو الخطوات,[],28/12/2023,https://x.com/danasana7/status/1740238925917196539,93,17,ar,True
انطلقت اليوم أعمال⁧ #منتدى_الباحة_للذكاء_الاصطناعي⁩ والذي تنظمه ⁧#سدايا⁩ لبحث أثر الذكاء الاصطناعي التوليدي على التعليم واستعراض تحديثات المدن الذكية في المملكة بالتعاون مع #جامعة_الباحة⁩ ممثلة في كلية الحاسبات والمعلومات وعمادة التعلم الالكتروني، ويسر الكلية وجميع منسوبيها,"['#منتدى_الباحة_للذكاء_الاصطناعي', '#سدايا', '#جامعة_الباحة']",27/12/2023,https://x.com/UALBAHA/status/1740067926705680890,21,7,ar,True
"جلسة حوارية بعنوان: ""أثر الذكاء الاصطناعي التوليدي في مجال التعليم"" خلال #منتدى_الباحة_للذكاء_الاصطناعي الذي تنظمه #سدايا","['#منتدى_الباحة_للذكاء_الاصطناعي', '#سدايا']",27/12/2023,https://x.com/SDAIA_SA/status/1739977658728128551,30,16,ar,True
"معسكرات متخصصة في تقنيات محددة في الذكاء الاصطناعي مثل معسكرات أنظمة تعدين البيانات ، بناء أنظمة الذكاء الاصطناعي التوليدي و غيرها ستطرح في اكاديمية سدايا 

 #منتدى_الباحة_للذكاء_الاصطناعي
#سدايا","['#منتدى_الباحة_للذكاء_الاصطناعي', '#سدايا']",27/12/2023,https://x.com/Abdulaz1a/status/1739923427824214369,0,0,ar,True
"الذكاء الاصطناعي التوليدي عزز الوظائف لم يقللها

وضع ضوابط لتلافي التأثيرات السلبية له من خلال بناء ارشادات و سياسات لاستخدام الذكاء الاصطناعي التوليدي 

تعزيز استخدام الطلاب لها لتعزيز مهاراتهم 

إنشاء مقالة من الطالب و تحليلها بتفكير نقدي
 #منتدى_الباحة_للذكاء_الاصطناعي
#سدايا","['#منتدى_الباحة_للذكاء_الاصطناعي', '#سدايا']",27/12/2023,https://x.com/Abdulaz1a/status/1739914649422660033,0,0,ar,True
"حصة المهارات التي يحتمل أن تكون قابلة للاكتساب عن طريق الذكاء الاصطناعي التوليدي:

مهندس برمجيات: 96%

مندوب خدمة العملاء: 76%

أمين الصندوق: 59%

مندوب المبيعات: 59%

المعلم: 45%

مدير الحدث: 39%

يجب أن يؤدي البشر 3٪ فقط من مهارات مهندسي البرمجيات.",[],26/12/2023,https://x.com/yarub_almamari/status/1739747382328193136,0,1,ar,True
"بفضل الله تعالى تم اليوم الثلاثاء. ١٣ / ٦ / ١٤٤٥ هـ 
في مركز التدريب  الثاني دورة  بعنوان : 
 
{ توظيف الذكاء الاصطناعي التوليدي في تدريس القرآن الكريم والدراسات الإسلامية } 

كان تفاعل المتدربات رائعا مما أضفى على اليوم الأول ايجابية وإنتاجا للمهام بشكل متقن 
بارك الله جهود",[],26/12/2023,https://x.com/amseham13/status/1739687356053979645,3,3,ar,True
"يعلن برنامج التميز في التعليم والتعلم عن مخيم الذكاء الاصطناعي التوليدي ""عن بعد"" لأعضاء هيئة التدريس تحت عنوان: ""تعليم مدعم بالذكاء الاصطناعي"".

#جامعة_الأميرة_نورة
#PNU","['#جامعة_الأميرة_نورة', '#PNU']",25/12/2023,https://x.com/PNU_EVENTS/status/1739373584395424148,16,5,ar,True
"نفذت الاستاذه شمسة البلوشية معلمة تقنية المعلومات ورشة تدريبية بعنوان "" الذكاء الاصطناعي التوليدي وتوظيفه في التعليم "" تضمن عددا من المحاور اهمها
التعريف بماهية الاذكاء الاصطناعي التوليدي وشرح نماذج من تطبيقاته منها Gamma ، ChatGPT، Vidnoz ،Bing.
@Muscat_InfoTch
 
@mct_edu",[],24/12/2023,https://x.com/zinab1619/status/1738859689176334524,18,0,ar,True
"كتاب (#الذكاء_الاصطناعي_التوليدي للمبتدئين Applied Generative AI for Beginners) 

للتحميل مجاناً من هنا 
https://media.licdn.com/dms/document/media/D4D1FAQFgH8rYrCnaVw/feedshare-document-pdf-analyzed/0/1703312785051?e=1704326400&v=beta&t=LCYtmnqSS0b8lhHJlIjk0uEgaoq1h0DZR72NysijTIQ…","['#الذكاء', '_الاصطناعي_', 'التوليدي']",23/12/2023,https://x.com/IWAN_RG/status/1738620451037893070,58,13,ar,True
" مسار التعلم في الذكاء الاصطناعي التوليدي - Introduction to Generative AI Learning Path.

تقدم Google مسارًا تعليميًا مجانيًا حول الذكاء الاصطناعي التوليدي يتضمن 9 دورات مجانية.

يوجهك هذا المسار التعليمي من خلال مجموعة مختارة من المحتويات حول منتجات وتقنيات الذكاء الاصطناعي",[],21/12/2023,https://x.com/maktabatai/status/1737885473639485445,1,0,ar,True
"في الجلسة الثالثة من DevFest، سنتعرف أكثر على آليات الانتباه و فهمها في نماذج اللغات الكبيرة والذكاء الاصطناعي التوليدي (Generative AI) .. كل هذا مع المهندسة في الذكاء الاصطناعي وخبيرة جوجل في التعلم الآلي من السعودية الخبيرة رقيا بن صافي.https://youtube.com/watch?v=xse3JSsjhr4…
@Ru0Sa",[],20/12/2023,https://x.com/GDGEloued/status/1737510674710831513,2,1,ar,True
"تعرّفوا معنا على #حازم_إبراهيم من #مصر، الفائز بجائزة #مبتكرون_دون35 العالمية في نسختها السادسة، وذلك عن ابتكاره ""بناء أطر عمل لاختبار تأثير #الذكاء_الاصطناعي التوليدي في التعليم العالي"".
#إم_آي_تي_تكنولوجي_ريفيو #مجرة 
@hazemibr_
 @NYUAbuDhabi
https://technologyreview.ae/iu35/%d8%ad%d8%a7%d8%b2%d9%85-%d8%a5%d8%a8%d8%b1%d8%a7%d9%87%d9%8a%d9%85/?utm_source=xtwitter&utm_medium=social&utm_campaign=ui35-2023&utm_content=techreviewar…","['#حازم_إبراهيم', '#مصر', '#مبتكرون_دون35', '#الذكاء', '_الاصطناعي', '#إم_آي_تي_تكنولوجي_ريفيو', '#مجرة']",20/12/2023,https://x.com/TechReviewAR/status/1737477109839196468,9,6,ar,True
" Introduction to Generative AI:

استكشف أساسيات الذكاء الاصطناعي التوليدي في هذه الجلسة المختصرة التي تستغرق 22 دقيقة فقط تحتوي على:

فيديو توضيحي.
كتاب.
اختبار تفاعلي.

https://cloudskillsboost.google/paths/118/course_templates/536?locale=ar…",[],19/12/2023,https://x.com/Al_3sli/status/1737016229578059957,0,0,ar,True
"اللي يحب يبدا يتعلم الذكاء الاصطناعي بشكل عام او الذكاء الاصطناعي التوليدي هذا كورس عليه تقيمات حلوه والحلو فيه انه من IBM شوفوا الصور علشان تعرفوا معلومات أكثر 
وحتى اللي اللغه عنده متوسط متوفر الترجمة",[],18/12/2023,https://x.com/altmemy199/status/1736829114852507814,6,1,ar,True
