tweet,hashtags,timestamp,full_url,like_count,retweet_count,language,is_about_learning
"ندوة NELC الافتراضية: 

|| تخصيص #التعلم #بالذكاء_الاصطناعي ||  

 الأربعاء 13 ديسمبر 2023 

 01:30 م  

 للتسجيل : http://nelc.gov.sa/node/2922","['#التعلم', '#بالذكاء_الاصطناعي']",11/12/2023,https://x.com/naelalnmri/status/1734279737915113850,0,0,ar,True
"عملاق الكتابة العلمية لطلاب الجامعة والباحثين للبحوث الاحترافية والتوثيق بالمراجع #بالذكاء_الاصطناعي 

http://writingmate.ai",['#بالذكاء_الاصطناعي'],11/12/2023,https://x.com/KhaledHammadi32/status/1734173528927174859,3,0,ar,True
"قصص متحركة #بالذكاء_الاصطناعي 

http://app.artflow.ai

يتيح إنشاء قصص متحركة مع الشخصيات والمشاهد المنشئة بالذكاء الاصطناعي",['#بالذكاء_الاصطناعي'],15/05/2023,https://x.com/KhaledHammadi32/status/1658045839049146368,1,0,ar,True
" موقع اسمه ( تعلم أي شيء)  
- مدعوم بالذكاء الاصطناعي (مجاني) 
- يساعد في تعلم ما تشاء ، 
كل ما عليك عمله هو أن تكتب الموضوع الذي تريد تعلمه وسيظهر لك الدروس التي تحتاجها

-للدخول للموقع والإستفادة من خدماته 
 https://tutorai.me

#تطوير_المهارات ","['#تطوير_المهارات', '', '']",29/12/2023,https://x.com/Ra_a1402/status/1740729383805981049,0,0,ar,True
"أهلًا بك،
يهدف برنامج مبرمجي ذكاء المستقبل إلى تعريف طلاب التعليم العام بالذكاء الاصطناعي وتحفيز اهتمامهم به، وإضافة برامج إثرائية وتوعوية في مجال الذكاء الاصطناعي.
سُعدنا بتواصلك.",[],28/12/2023,https://x.com/SDAIA_Care/status/1740432458464526706,0,0,ar,True
نفذت معلمات اللغة الإنجليزية (English Day) عن فلسطين و تاريخها. تضمن عروض و مسابقات للطلبة و المعلمات في الإذاعة و معرض استراتيجيات متنوعة، كذلك تفعيل حصص الاحتياط بالذكاء الاصطناعي. و تم افتتاح صف الألعاب الحسيّة المتنوعة.,[],28/12/2023,https://x.com/QalaedNoor211/status/1740427305296470052,4,0,ar,True
"𝗔𝘀𝗸𝘆𝗼𝘂𝗿𝗽𝗱𝗳
تلخيص المقالات والكتب بالذكاء الاصطناعي",[],28/12/2023,https://x.com/2Nnoura/status/1740414014033965564,5,1,ar,True
"𝗦𝗽𝗲𝗮𝗸𝘆
تعليم المحادثة بالذكاء الاصطناعي",[],28/12/2023,https://x.com/2Nnoura/status/1740413934291783866,12,3,ar,True
"تم على مدار ٣ أيام شرح لتفعيل ساعة البرمجة بالذكاء الإصطناعي لعام 1445 في حصص الانتظار والإرشاد الأكاديمي.. للكادر التعليمي والإداري من قبل معلمة التقنية
 ا. عالية الفيفي",[],28/12/2023,https://x.com/MOE_ARP_09_0111/status/1740363021405536456,0,0,ar,True
قاعدين ندرس عن كيف نبرمج العقل البشري بالذكاء الاصطناعي واحس هذا اغرب شي درسته,[],28/12/2023,https://x.com/ilysaaan/status/1740342849697202359,2,0,ar,True
"#تعليم_المخواة
#مكتب_تعليم_قلوة
#أذكى لتطوير المهارات وربطها بالذكاء الاصطناعي مشاركة الطالبة/منى أحمد بالصف الثاني متوسط .","['#تعليم_المخواة', '#مكتب_تعليم_قلوة', '#أذكى']",28/12/2023,https://x.com/Moe_mkh_02_0042/status/1740336770393456958,1,1,ar,True
"نَفَّذَتْ المعلمة أ/سميرة الجدعاني دَرْساً لمادة التنمية المستدامة عَبْرَ #منصة_مدرستي مُسْتَعِينَةٌ بِالذَكاءِ الاِصْطِناعِيِّ يَهْدِفُ إلى تَكْوِينِ طالِباتٍ قادِراتٍ عَلَى تَحَمُّلِ المَسْؤُولِيَّةِ تُجاهَ البِيئَةِ.
وَحُضُورٍ وَتَفاعُلٍ جَمِيلٍ مِنْ الطالِباتِ.
#تعليم_جده","['#منصة_مدرستي', '#تعليم_جده']",28/12/2023,https://x.com/MOE_JDH_32_1151/status/1740274736545116221,1,0,ar,True
"معلم أو معلمه :
موقع اسمه ( تعلم أي شيء)  مدعوم بالذكاء الاصطناعي (مجاني) يساعد في تعلم ما تشاء ، كل ما عليك عمله هو أن تكتب الموضوع الذي تريد تعلمه وسيظهر لك الدروس التي تحتاجها

للدخول للموقع والإستفادة من خدماته هذا رابط الموقع",[],28/12/2023,https://x.com/alkhiary_khalid/status/1740217420843782194,0,0,ar,True
"قدمت الأستاذة فاطمة النبهانية مشغلًا حول برامج  توليد الصور بالذكاء الاصطناعي َمثل: ( bing و adobe firefly)  لمعلمات العلوم بالمدرسة.

#تعليم_مستدام
#مدرسة_حفصة_بنت_عمر 
@EduDakGov","['#تعليم_مستدام', '#مدرسة_حفصة_بنت_عمر']",28/12/2023,https://x.com/hafsaschool/status/1740215181794578733,1,0,ar,True
" تطبيق Memrise 

تطبيق يعمل بالذكاء الإصطناعي لحفظ المفردات اللغوية في اللغة الإنجليزية، تقدر تحفظ ما يقرب من مئات الكلمات فقط من الممارسة 30 دقيقة على هذا التطبيق :",[],27/12/2023,https://x.com/Mohbabd/status/1740124714306334976,62,10,ar,True
" مهارة الاستماع والتحدث مرتبطين ببعض فهذا أفضل بودكاست يعمل بالذكاء الاصطناعي يطور لك مهارة الاستماع هنا 

https://bit.ly/3LmsotL",[],27/12/2023,https://x.com/Arrabian_AI/status/1740120796998086968,1,0,ar,True
