tweet,hashtags,timestamp,full_url,like_count,retweet_count,language,is_about_learning
"بالتعاون مع وزارة التعليم..

سدايا تعلن عن فتح باب التسجيل في برنامج ""مبرمجي ذكاء المستقبل"" في مرحلته الرابعة لطلاب وطالبات الصف الثالث متوسط، والمرحلة الثانوية، بهدف تطوير قدراتهم وتعريفهم بمبادئ الذكاء الاصطناعي ضمن مجموعة من المراحل تستهدف 30 ألف طالب وطالبة في المملكة.",[],29/12/2023,https://x.com/asda_alkhaleej/status/1740679657861914809,0,0,ar,True
"فتح باب التسجيل في برنامج مبرمجي ذكاء المستقبل بمرحلته الرابعة؛ الذي يستهدف طلاب وطالبات المرحلة المتوسطة والثانوية.

التدريب عن بعد
بشهادة معتمدة من:

١. سدايا الهيئة السعودية للبيانات والذكاء الاصطناعي
٢. وزارة التعليم

رابط التسجيل:",[],29/12/2023,https://x.com/MOE_BlA_03_0014/status/1740654880849862801,0,0,ar,True
"""#سدايا"" ووزارة التعليم تتيحان التسجيل في برنامج ""مبرمجي ذكاء المستقبل"" بمرحلته الرابعة.
#عالم_التكنولوجيا
@SDAIA_SA","['#سدايا', '#عالم_التكنولوجيا']",28/12/2023,https://x.com/TechmagN/status/1740443865809846303,0,0,ar,True
"أهلًا بك،
يهدف برنامج مبرمجي ذكاء المستقبل إلى تعريف طلاب التعليم العام بالذكاء الاصطناعي وتحفيز اهتمامهم به، وإضافة برامج إثرائية وتوعوية في مجال الذكاء الاصطناعي.
سُعدنا بتواصلك.",[],28/12/2023,https://x.com/SDAIA_Care/status/1740432458464526706,0,0,ar,True
علوم وتقنيات / “سدايا” ووزارة التعليم تتيحان التسجيل في برنامج “مبرمجي ذكاء المستقبل” بمرحلته الرابعة http://dlvr.it/T0j4LX #news #fana,"['#news', '#fana']",28/12/2023,https://x.com/fana_news/status/1740420747510841713,0,0,ar,True
"التعليم سهل استغنو عنهم وجيبو الة فية ذكاء اصطناعي يستبدل المعلم ولا ولكن لا يستبدل المربي
نحتاج مربين قدوة",[],28/12/2023,https://x.com/TimGodf/status/1740419080698696014,0,0,ar,True
"""سدايا"" ووزارة التعليم تتيحان التسجيل في برنامج ""مبرمجي ذكاء المستقبل"" بمرحلته الرابعة 
 https://dora.sa/271893",[],28/12/2023,https://x.com/dora_press/status/1740414686947156435,0,0,ar,True
" #سدايا ووزارة #التعليم تتيحان التسجيل في برنامج ""مبرمجي ذكاء المستقبل""
.
https://ghrannews.com/351482/
.
#صحيفة_غراس","['#سدايا', '#التعليم', '#صحيفة_غراس']",28/12/2023,https://x.com/ghranchannel/status/1740403446527017313,0,0,ar,True
"ضمن فعاليات اليوم التقني (ذكاء) أقيمت مسابقة تحدي الألغاز الرقمي للطالبات والمعلمات بإشراف أ.خولة الشحي- م.رياضيات، يعكس هذا التحدي توظيف أدوات الذكاء الإصطناعي في التعليم وتحفيز الفهم والإبتكار لدى الطالبات.

#تعلم_مستدام
#الذكاء_الاصطناعي","['#تعلم_مستدام', '#الذكاء_الاصطناعي']",24/12/2023,https://x.com/suk_school778/status/1738785178913309083,2,1,ar,True
"اشياء ممكن يسويها الذكاء الاصطناعي
١- انه يساعد في التعليم 
تخيل بدل ماتروح تشوف دورة اون لاين ليش مايكون في مدرب اون لاين ذكاء اصطناعي وهو يشرح لك المادة كانه مدرس خصوصي ",[],22/12/2023,https://x.com/Abdulrahman_G_D/status/1738260584905289918,0,0,ar,True
"انهينا التدريب في برنامج #مبرمجي_ذكاء_المستقبل والذي استمر لمدة اسبوعين بإشراف #وزارة_التعليم و #سدايا حيث استهدف التدريب طلاب الصف ثالث متوسط وطلاب المرحلة الثانوية
واحتوى التدريب على مادة عملية وتجارب عملية على منصة #senestime 

شكرا لثقتكم بنا
#وزارة_التعليم
#سدايا","['#مبرمجي_', 'ذكاء', '_المستقبل', '#وزارة_', 'التعليم', '#سدايا', '#senestime', '#وزارة_', 'التعليم', '#سدايا']",20/12/2023,https://x.com/Ahmad_Halawanii/status/1737551890060316727,0,0,ar,True
"اكتشف ما يمكن لطفلك فعله مع الأكواد البرمجية من الإبداع..

 انضم إلينا في الكورس التدريبي من خلال حصتنا التجريبية عن بُعد في برمجة الروبوتات الافتراضية. 

الأماكن محدودة، سجل الآن!  
https://waleedalthobaiti1.lpages.co/%D8%AD%D8%B5%D8%A9-%D9%85%D8%AC%D8%A7%D9%86%D9%8A%D8%A9/…

#وزارة_التعليم #ذكاء_اصطناعي #المدرسة #الطلاب #الاطفال","['#وزارة_', 'التعليم', '#ذكاء', '_اصطناعي', '#المدرسة', '#الطلاب', '#الاطفال']",20/12/2023,https://x.com/waleedwaaw/status/1737401710480396789,0,0,ar,True
"غوصوا معنا في عالم الذكاء الاصطناعي وساهموا في إحداث ثورة في الفصول الدراسية!

اكتشفوا كيفية دمج الذكاء الاصطناعي في التعليم، وأطلقوا العنان لإمكاناته من خلال التعلم التفاعلي، وتطوير التدريس من خلال رؤى عملية من خبراء #إنتل. 

 #AIinClassroom #IntelSFI #ذكاء_اصطناعي","['#إنتل', '#AIinClassroom', '#IntelSFI', '#ذكاء', '_اصطناعي']",17/12/2023,https://x.com/ClasseraME/status/1736294466762191335,4,3,ar,True
"الجيل القادم يحتاج إلى مهارات جديدة للنجاح في مجالات العمل المختلفة، تعلم البرمجة والذكاء الاصطناعي يساعد الأطفال على اكتساب هذه المهارات.

#وزارة_التعليم #ذكاء_اصطناعي #المدرسة #الطلاب #الاطفال","['#وزارة_', 'التعليم', '#ذكاء', '_اصطناعي', '#المدرسة', '#الطلاب', '#الاطفال']",07/12/2023,https://x.com/waleedwaaw/status/1732629995057479828,1,0,ar,True
"#فائده|

ماهو مهندس #الذكاء_الاصطناعي AI engineers.؟

ج/ كورس خاص لطلاب التعليم العالي تخصص ذكاء اصطناعي من #microsoftlearn:

https://learn.microsoft.com/en-us/training/career-paths/ai-engineer…

#التعليم_العالي 
#محتوى_نافع ","['#فائده', '#الذكاء_الاصطناعي', '#microsoftlearn', '#التعليم', '_العالي', '#محتوى_نافع', '', '']",06/12/2023,https://x.com/almehmadi_sa/status/1732230567733690779,6,2,ar,True
"تتميز روبوتات المحادثة في المؤسسات التعليمية بقدرتها على الإجابة عن مختلف الأسئلة الأكاديمية والاجتماعية وتقديمها فوريّاً للطلاب خارج ساعات العمل العادية.
اقرأ المزيد في مقال: ""استخدامات #الذكاء_الاصطناعي في قطاع التعليم"" على #مكتبة_ذكاء. 

 https://bit.ly/47dL2g0","['#الذكاء_الاصطناعي', '#مكتبة_', 'ذكاء']",23/11/2023,https://x.com/InnovationC_sa/status/1727658306959822954,12,12,ar,True
تتقدم إدارة مجمع الزوران التعليمي بالتهنئة للطالب/ مهند ماجد الحارثي وذلك بمناسبة اجتيازه بتفوق لبرنامج #مبرمجي_ذكاء_المستقبل والذي أقامته الهيئة السعودية للبيانات والذكاء الاصطناعي #سدايا بالتعاون مع #وزارة_التعليم وشركة #سينس_تايم الصينية نتمنى له مزيدا من التوفيق والنجاح.,"['#مبرمجي_', 'ذكاء', '_المستقبل', '#سدايا', '#وزارة_', 'التعليم', '#سينس_تايم']",21/11/2023,https://x.com/MOE_TIF_07_0017/status/1726955150257131870,6,3,ar,True
"""نستكشف مستقبل التعليم مع الذكاء الاصطناعي!  #الذكاء_الاصطناعي يحول قطاع التعليم، مما يجعل التعلم الشخصي حقيقة واقعة للطلاب في كل مكان. لنحتضن هذا التغيير لغدٍ أكثر ذكاءً. #تكنولوجيا_التعليم #التعلم_المبتكر #وزارة_التعليم""","['#الذكاء_الاصطناعي', '#تكنولوجيا_', 'التعليم', '#التعلم_المبتكر', '#وزارة_', 'التعليم']",16/11/2023,https://x.com/tahadirsmow/status/1725070037625532489,0,0,ar,True
•التعليم: يمكن استخدام ChatGPT لمساعدة الطلاب على التعلم بشكل أكثر فعالية، من خلال تقديم ملاحظات شخصية وإنشاء #محتوى تعليمي مخصص.,['#محتوى'],08/11/2023,https://x.com/Besmart4ai/status/1722303837254385801,1,0,ar,True
