tweet,hashtags,timestamp,full_url,like_count,retweet_count
"في الواقع، هو يبحث عنك.

مثال على النوع الرابع: قضيت سنوات في العبث بنماذج الذكاء الاصطناعي التوليدي (قبل أن تصبح موضوعًا شائعًا في الحفلات). يعني شغفك الفريد وخبرتك المكتسبة أنه غالبًا ما يُطلب منك المساعدة من قبل مؤسسين ورؤساء تنفيذيين يعملون في طليعة الذكاء الاصطناعي،",[],2023-12-29T16:19:44.000Z,https://x.com/KhaledElAhmad/status/1740769579402670238,0,0
مثال على النوع الثالث: أنت رائد أعمال وتلاحظ الوتيرة المثيرة للإعجاب التي يتطور بها الذكاء الاصطناعي التوليدي لإنشاء الصور والفن. كنت قد عملت حول جنون صور البروفايل للرموز غير القابلة للاستبدال (NFT) لعامي 2021/22 وتعتقد أن الصور الشخصية التوليدية قد تمثل سوقًا ذا إمكانية مماثلة,[],2023-12-29T16:19:42.000Z,https://x.com/KhaledElAhmad/status/1740769573412986899,0,0
"● 20 مشروع للتعلم العميق باستخدام البايثون: 

https://drive.google.com/file/d/1HI9SbYkt3I_qV3onO2riWzfI8_tpDRp5/view?usp=drivesdk… 

● مقدمة في الذكاء الاصطناعي التوليدي: 

https://drive.google.com/file/d/1_w9uwrIzBrx0w7DdUtuZXwSdAD-7KU0o/view?usp=drivesdk… 

● النماذج اللغوية الكبيرة:",[],2023-12-29T15:01:29.000Z,https://x.com/TheDatalystOne/status/1740749888047005891,0,0
وخلال العام، كانت الجامعة هي العضو المؤسس-الوحيد من الإمارات- في تحالف الذكاء الاصطناعي، وذلك بفضل تنوع خلفيات وتخصصات هيئتها التدريسية،وبفضل حرصها على التعاون مع شركاء الصناعة لدفع التقدم السريع في مجال الذكاء الاصطناعي التوليدي، وتحقيقها لإنجازات بارزة وذلك في غضون 4 أعوام فقط.,[],2023-12-29T14:53:11.000Z,https://x.com/mbzuai/status/1740747800797762020,0,0
خلال السنتين الماضيات شاركت بعدد من التجارب على دقة الذكاء الاصطناعي التوليدي وكانت مذهله في التزييف لدرجه انو نحنا الفريق بالكاد قدرنا نميز بين الصور الاصليه والمولده,[],2023-12-29T12:08:43.000Z,https://x.com/hanisleem1956/status/1740706407853494291,2,1
" جوجل جعلت تعلم الذكاء الأصطناعي مجانى 

من خلال ١٠ كورسات في الذكاء الاصطناعي التوليدي من جوجل
 مجانًا 100 % مع فرصة الحصول على شهادة إتمام. 
من خلال منهج تعليمي مجاني 100%  - 
https://bit.ly/3IWG65b",[],2023-12-29T11:45:49.000Z,https://x.com/p_4all/status/1740700646469480907,12,4
"شركة M42 توظِّف التكنولوجيا الحديثة، لتحسين نتائج الرعاية الطبية المُقدَّمة إلى المرضى، من خلال Med42، نموذج الذكاء الاصطناعي التوليدي، الذي يهدف إلى دعم عمليات صنع القرار في قطاع الرعاية الصحية السريرية في إمارة #أبوظبي

#صحيفة_الخليج","['#أبوظبي', '#صحيفة_الخليج']",2023-12-28T06:33:47.000Z,https://x.com/alkhaleej/status/1740259734736044094,0,0
شركة M42 توظِّف التكنولوجيا الحديثة، لتحسين نتائج الرعاية الطبية المُقدَّمة إلى المرضى، من خلال Med42، نموذج الذكاء الاصطناعي التوليدي، الذي يهدف إلى دعم عمليات صنع القرار في قطاع الرعاية الصحية السريرية في إمارة #أبوظبي.,['#أبوظبي'],2023-12-28T06:32:59.000Z,https://x.com/ADMediaOffice/status/1740259532159492330,6,4
"٢٠٢٣ كان عاما ذهبيا للذكاء الاصطناعي. 

مقالة تلخص اهم منجزات الذكاء الاصطناعي التوليدي لهذه السنة

https://journal.everypixel.com/2023-the-year-of-ai…",[],2023-12-28T05:58:20.000Z,https://x.com/NajwaGhamdi/status/1740250809882054744,228,44
أصبح من السهل ان تصمم قصة رقمية عبر Canva و بصوت الراوي (الحكواتي) عبر تقنيات الذكاء الاصطناعي التوليدي المدعمة بالموقع _تابعو الخطوات,[],2023-12-28T05:11:06.000Z,https://x.com/danasana7/status/1740238925917196539,93,17
#الذكاء_الاصطناعي توم توم ومايكروسوفت تكشفان النقاب عن الذكاء الاصطناعي التوليدي للمركبات المتصلة,"['#الذكاء', '_الاصطناعي']",2023-12-27T22:41:58.000Z,https://x.com/Iot_skills_/status/1740140994694463819,0,0
"٢٠٢٣ كان عاما ذهبيا للذكاء الاصطناعي. 

مقالة تلخص اهم منجزات الذكاء الاصطناعي التوليدي لهذه السنة

https://journal.everypixel.com/2023-the-year-of-ai…",[],2023-12-28T05:58:20.000Z,https://x.com/NajwaGhamdi/status/1740250809882054744,228,44
أصبح من السهل ان تصمم قصة رقمية عبر Canva و بصوت الراوي (الحكواتي) عبر تقنيات الذكاء الاصطناعي التوليدي المدعمة بالموقع _تابعو الخطوات,[],2023-12-28T05:11:06.000Z,https://x.com/danasana7/status/1740238925917196539,93,17
#الذكاء_الاصطناعي توم توم ومايكروسوفت تكشفان النقاب عن الذكاء الاصطناعي التوليدي للمركبات المتصلة,"['#الذكاء', '_الاصطناعي']",2023-12-27T22:41:58.000Z,https://x.com/Iot_skills_/status/1740140994694463819,0,0
#DataScience #Data Engineering #MLOps #الذكاء_الاصطناعي #MachineLearning 25 دورة مجانية لإتقان علوم البيانات وهندسة البيانات والتعلم الآلي وMLOps والذكاء الاصطناعي التوليدي,"['#DataScience', '#Data', '#MLOps', '#الذكاء', '_الاصطناعي', '#MachineLearning']",2023-12-27T18:55:08.000Z,https://x.com/DataScience1sa/status/1740083910418022483,0,0
"من بينها أن يصبح #الذكاء_الاصطناعي التوليدي واعيًا ثقافيًا.. 3 توقعات ترسم ملامح قطاع #التكنولوجيا عالميًا في العام المقبل

#اقتصاد_اليوم
https://alyaum.com/article/6505963","['#الذكاء', '_الاصطناعي', '#التكنولوجيا', '#اقتصاد_اليوم']",2023-12-27T18:45:15.000Z,https://x.com/alyaum_eco/status/1740081422898016461,2,1
انطلقت اليوم أعمال⁧ #منتدى_الباحة_للذكاء_الاصطناعي⁩ والذي تنظمه ⁧#سدايا⁩ لبحث أثر الذكاء الاصطناعي التوليدي على التعليم واستعراض تحديثات المدن الذكية في المملكة بالتعاون مع #جامعة_الباحة⁩ ممثلة في كلية الحاسبات والمعلومات وعمادة التعلم الالكتروني، ويسر الكلية وجميع منسوبيها,"['#منتدى_الباحة_للذكاء_الاصطناعي', '#سدايا', '#جامعة_الباحة']",2023-12-27T17:51:37.000Z,https://x.com/UALBAHA/status/1740067926705680890,21,7
"للمهتمين والراغبين بالتعرف اكثر والدخول في عالم التصميم عن طريق الذكاء الاصطناعي التوليدي .. لا تفوتوا الدورة مع المبدع 
@aziz4ai
 من تنظيم 
@Quill_Edu",[],2023-12-27T13:02:02.000Z,https://x.com/BeeS91/status/1739995050585493818,1,1
"يبدو ان فيلم روبوت تنبأ بما يحدث الان هو الانسان الآلي المدعم بالذكاء التوليدي تحول الخيال العلمي الي واقع حقيقي اصبح قريب جدا خصوصا بعد حادثه القتل التي حدثت في مصانع ايلون ماسك روبوت يقتل العمال 
#مخاطر_الذكاء_الصناعي
#تاجر_IT","['#مخاطر_', 'الذكاء', '_الصناعي', '#تاجر_IT']",2023-12-27T12:49:54.000Z,https://x.com/waheed_hazem/status/1739991998159855698,3,0
أفضل 5 كتب في الذكاء الاصطناعي التوليدي,[],2023-12-27T12:36:56.000Z,https://x.com/AlamirKamal/status/1739988735775891950,0,0
"جلسة حوارية بعنوان: ""أثر الذكاء الاصطناعي التوليدي في مجال التعليم"" خلال #منتدى_الباحة_للذكاء_الاصطناعي الذي تنظمه #سدايا","['#منتدى_الباحة_للذكاء_الاصطناعي', '#سدايا']",2023-12-27T11:52:55.000Z,https://x.com/SDAIA_SA/status/1739977658728128551,30,16
أغلب الأفراد والجهات حاليًا مُهتمين بتقنيات الذكاء الإصطناعي التوليدي تحديدًا النماذج اللغوية الكبيرة (LLMs) الخاصة بشركات مثل OpenAI وGoogle، لكن في نفس الوقت هناك توجه قوي للتركيز على النماذج اللغوية مفتوحة المصدر (Open-source) خصوصًا إنه كثير منها الآن كفاءته صارت جدًا مُمتازة,[],2023-12-27T11:45:27.000Z,https://x.com/AhmedRam2175/status/1739975779692515546,6,2
"رئيس قسم القطاع الرقمي في #الشرق_الأوسط لدى أوليفر وايمان جاد حداد:
 شركات الـ #AI حصلت على استثمارات بـ 50 مليار #دولار في 2023 
 قيمة الاستثمار في #الذكاء_الاصطناعي التوليدي بالمنطقة يصل إلى نحو 3 مليارات دولار
@SamarMashta
 
#ريادة
#العربية_Business 
#الأسواق_العربية","['#الشرق_الأوسط', '#AI', '#دولار', '#الذكاء', '_الاصطناعي', '#ريادة', '#العربية_Business', '#الأسواق_العربية']",2023-12-27T11:25:53.000Z,https://x.com/AlArabiya_Bn/status/1739970855042420969,4,2
"د. ناصر حميد النعيمي يكتب: ""الذكاء الاصطناعي التوليدي وآفاق التعاون والابتكار لمستقبل أفضل"" 

 للتفاصيل: http://eti.ae/IgPO 

 #مفكرو_الإمارات
#مركز_الاتحاد_للأخبار 
@TheECSSR","['#مفكرو_الإمارات', '#مركز_الاتحاد_للأخبار']",2023-12-27T08:33:37.000Z,https://x.com/wejhatnazar/status/1739927501558743472,2,2
"هاتف العام: ايفون ١٥ برو ماكس 
أفضل هاتف بسعر جيد: ايفون
هاتف مظلوم: ايفون
هاتف محبط: جلكسي ألترا ٢٣اس
أفضل ساعة: ابل ألترا 
أفضل سماعة: ايربودز برو
تقنية أعجبتك: سؤال عائم تقنية في المنتجات المذكوره او مجال مفتوح على العموم منتجات الذكاء الصناعي التوليدي سواء نصي او صوري",[],2023-12-27T08:33:22.000Z,https://x.com/iAbdulaziz/status/1739927439382396969,2,0
