tweet,hashtags,timestamp,full_url,like_count,retweet_count
"مستعّد لرحلة مع الابتكار في التعليم؟ 
 نورة ناصر، مدير إدارة مشاريع تكنولوجيا المعلومات والاتصالات، تشرح لنا دور خالد، الأفاتار الإماراتي والمعلم الافتراضي المصمم من خلال ChatGPT.. والمتاح لطلبة كليات التقنية العليا. 

تعرّف على الذكاء الاصطناعي التوليدي أثناء العمل مع إجابة خالد",[],2023-10-20T12:17:19.000Z,https://x.com/HCT_UAE/status/1715341424588136760,0,0
كما التقى معاليه بمعالي كريستينا كالاس، وزيرة التعليم والبحث في إستونيا لمناقشة أهمية التقنيات الحديثة والذكاء الاصطناعي في تعزيز قطاع التعليم ودور الذكاء الاصطناعي التوليدي في تحديث الأساليب التعليمية وتطوير تجربة الطلبة في المدارس وفي تنميتهم في المجالات المستقبلية.,[],2023-10-19T16:06:15.000Z,https://x.com/uaeai_2031/status/1715036647442563510,1,1
كما التقى معاليه بمعالي كريستينا كالاس، وزيرة التعليم والبحث في إستونيا لمناقشة أهمية التقنيات الحديثة والذكاء الاصطناعي في تعزيز قطاع التعليم ودور الذكاء الاصطناعي التوليدي في تحديث الأساليب التعليمية وتطوير تجربة الطلبة في المدارس وفي تنميتهم في المجالات المستقبلية.,[],2023-10-19T11:08:37.000Z,https://x.com/uaeai_2031/status/1714961745020584370,1,2
اسمحوا لي أن اقدم لمجتمع المعلوماتية سرد فختصر عن تطور استخدامات الحاسوب في التعليم والتدريب حتى وصل إلى ماوصل اليه اليوم من تطور مذهل وما يعدبه قريبا من فوائد مذهلة بتوظيف الذكاء الصناعي التوليدي Generative  AI,[],2023-10-19T08:45:50.000Z,https://x.com/Drorainy/status/1714925812342751583,4,2
"حضور اللقاء الثاني ضمن لقاءات #euday  عن توظيف الذكاء الاصطناعي التوليدي في التعليم وطرح أفكار رائعة ومفيدة في استخدام #ChatGPT
@Areejabdullahsa
 بارك الله جهودكم وتفع الله بكم  
@abeermehdar","['#euday', '#ChatGPT']",2023-10-18T02:54:14.000Z,https://x.com/rakhatoday/status/1714474942350139408,2,0
"تم حضور اللقاء الثري والرائع 
عن توظيف الذكاء الاصطناعي التوليدي 
في التعليم وطرح العديد من  الأفكار الرائعة والملهمة
 #ChatGPT
@Areejabdullahsa
 @abeermehdar
لكم كل الشكر والتقدير",['#ChatGPT'],2023-10-17T22:53:30.000Z,https://x.com/hn_teacher/status/1714414358703317437,1,0
"تم حضور لقاء مميز عن توظيف الذكاء الاصطناعي التوليدي في التعليم وطرح أفكار رائعة ومفيدة #ChatGPT
@Areejabdullahsa
شكرا لجهودكم 
@abeermehdar",['#ChatGPT'],2023-10-17T20:29:28.000Z,https://x.com/HanadiMadaniSA/status/1714378114002780494,6,1
" مجانية مع شهادة 
 توظيف الذكاء الاصطناعي التوليدي في التعليم
#الثلاثاء ١٧ أكتوبر
 ٧ م 
 للدخول:
https://2u.pw/pd1p8cc

 تصميم المصادر التعليمية باستخدام الذكاء الاصطناعي
 #الاثنين ٢٣ أكتوبر
 ١٠ صباحا","['#الثلاثاء', '#الاثنين']",2023-10-17T08:56:31.000Z,https://x.com/dwratti/status/1714203725567246785,2,2
"اللقاء القادم يوم الثلاثاء 2 / 4 / 1445 الموافق  17 أكتوبر الساعة 7 - 9 مساء:
توظيف الذكاء الاصطناعي التوليدي في التعليم.
الرابط على التيمز :
https://2u.pw/pd1p8cc",[],2023-10-17T07:17:18.000Z,https://x.com/alkhiary_khalid/status/1714178759912198300,1,0
"ملتقى #الذكاء_الاصطناعي التوليدي 
في #التعليم","['#الذكاء', '_الاصطناعي', '#التعليم']",2023-10-16T23:11:14.000Z,https://x.com/HilalMezel/status/1714056434491511172,1,1
"حضور ملتقى الذكاء الاصطناعي التوليدي في التعليم 

https://arabia2.com/?p=49483",[],2023-10-16T20:10:34.000Z,https://x.com/arabia2comvb/status/1714010971063120094,0,1
"#دورات_معتمدة #الصنعة_سعودية
#الذكاء_الاصطناعي
تدعوكم الإدارة العامة للإيفاد والابتعاث في وزارة التعليم لحضور لقاءات بعنوان:

١- توظيف الذكاء الاصطناعي التوليدي في التعليم
الثلاثاء ٢ ربيع الثاني - ١٧ أكتوبر
تبدأ الساعة ٧ مساءً
رابط التيمز:
https://2u.pw/pd1p8cc","['#دورات_معتمدة', '#الصنعة_سعودية', '#الذكاء', '_الاصطناعي']",2023-10-16T19:50:09.000Z,https://x.com/leadermr101/status/1714005829895032892,47,12
"تدعوكم إدارة الإيفاد والابتعاث لحضور لقاءات:

١- توظيف الذكاء الاصطناعي التوليدي في التعليم

٢- تصميم المصادر التعليمية باستخدام الذكاء الاصطناعي

٣- أدوات الذكاء الاصطناعي التوليدي في التعليم

٤- أدوات الذكاء الاصطناعي التوليدي لذوي الإعاقات 

للتفاصيل",[],2023-10-16T18:25:32.000Z,https://x.com/icoursess/status/1713984538316038235,27,6
"للمعلمين و المعلمات

#منصة_مدرستي تدعوكم لحضور ""ملتقى الذكاء الاصطناعي التوليدي في التعليم""،

اللقاء بعنوان: ""توظيف  الذكاء الاصطناعي التوليدي في التعليم"".

 عبر الرابط التالي
https://teams.microsoft.com/dl/launcher/launcher.html?url=%2F_%23%2Fl%2Fmeetup-join%2F19%3Ameeting_OTlhZWIzMjUtYzMxZi00ZjgyLTk4Y2YtYzM3ODUwZWZlMjAz%40thread.v2%2F0%3Fcontext%3D%257B%2522Tid%2522%253A%25226bca8351-01d3-4252-85ea-bda8f8d235bd%2522%252C%2522Oid%2522%253A%2522adb5eec7-9365-41d4-b992-200b8c2ec426%2522%252C%2522IsBroadcastMeeting%2522%253Atrue%252C%2522role%2522%253A%2522a%2522%257D%26btype%3Da%26role%3Da%26anon%3Dtrue&type=meetup-join&deeplinkId=b147d487-2787-451a-aac3-baa5421900da&directDl=true&msLaunch=true&enableMobilePage=true&suppressPrompt=true…",['#منصة_مدرستي'],2023-10-16T18:21:10.000Z,https://x.com/3bdAllah_Sultan/status/1713983435784556649,30,10
"#منصة_مدرستي تدعوكم لحضور ""ملتقى الذكاء الاصطناعي التوليدي في التعليم"".. بالشراكة بين #وزارة_التعليم وشركة مايكروسوفت التعليمية..

اللقاء بعنوان: ""توظيف  الذكاء الاصطناعي التوليدي في التعليم"".

 عبر الرابط التالي
https://teams.microsoft.com/l/meetup-join/19%3ameeting_OTlhZWIzMjUtYzMxZi00ZjgyLTk4Y2YtYzM3ODUwZWZlMjAz%40thread.v2/0?context=%7B%22Tid%22%3A%226bca8351-01d3-4252-85ea-bda8f8d235bd%22%2C%22Oid%22%3A%22adb5eec7-9365-41d4-b992-200b8c2ec426%22%2C%22IsBroadcastMeeting%22%3Atrue%2C%22role%22%3A%22a%22%7D&btype=a&role=a…","['#منصة_مدرستي', '#وزارة_', 'التعليم']",2023-10-16T17:58:21.000Z,https://x.com/moe_madrasati/status/1713977695074132019,429,1249
"ظهرت عندي ميزة رفع الصور إلى ChatGPT.

صدمني كيف ميز وعرف السؤال لنفس الصورة لكن بشكلين مختلفين. 

المستقبل وطرق التعامل مع الذكاء الاصطناعي التوليدي سيغير الكثير خلال الفترة القادمة في عدة مجالات أهمها وأتمنى ذلك هو التعليم. ",[],2023-10-13T14:23:21.000Z,https://x.com/ElZeeRX/status/1712836424683131045,19,0
"#خبراء_تقنيات_التعليم 
#السعودية_العظمى 
#تعلم_ممتع 
#الذكاء_الاصطناعي
#الوعد2030 
تنطلق بمشيئة الله الأسبوع المقبل سلسلة ورش ملتقى#الذكاء_الاصطناعي_التوليدي في التعليم","['#خبراء_تقنيات_', 'التعليم', '#السعودية_العظمى', '#تعلم_ممتع', '#الذكاء', '_الاصطناعي', '#الوعد2030']",2023-10-12T12:29:29.000Z,https://x.com/aishakrery/status/1712445382666375550,5,2
#يحدث_الآن يقدم الدكتور عبدالرحمن الزرعي ورشته في #الذكاء_الاصطناعي التوليدي عن طريق منصة جوجل ميت ضمن فعاليات اسبوع تقنيات التعليم,"['#يحدث_الآن', '#الذكاء', '_الاصطناعي']",2023-10-10T17:07:12.000Z,https://x.com/etnizwa/status/1711790495083401589,2,0
"ضمن البرامج والأنشطة والفعاليات لأسبوع تقنيات التعليم الذي تنفذه دائرة الإشراف التربوي ستقام في الفترة المسائية اليوم ورشة عن الذكاء الاصطناعي التوليدي تقديم الدكتور عبدالرحمن الزراعي وللاشتراك والحضور عبر الرابط التالي :
https://meet.google.com/zsb-jibs-ati",[],2023-10-10T07:46:46.000Z,https://x.com/etnizwa/status/1711649456787984643,6,2
ثم تحدثت الدكتورة جواهر الغامدي عن الذكاء الاصطناعي التوليدي و مساهمته في دعم مهنة التعليم,[],2023-10-09T08:08:55.000Z,https://x.com/IAUCollegeofEd/status/1711292646868635672,0,0
"خبراء في الإمارات: الذكاء الاصطناعي التوليدي سيغير طريقة تدريس الطلاب وتقييمهم

#الذكاء_الاصطناعي #التعليم #الإمارات

https://thenationalnews.com/uae/2023/10/07/generative-ai-biggest-game-changer-in-education-since-90s-internet-boom-uae-experts-say/…","['#الذكاء', '_الاصطناعي', '#التعليم', '#الإمارات']",2023-10-08T17:03:16.000Z,https://x.com/techgateway2/status/1711064732063420618,2,2
"حفل جامعة الملك فيصل ليوم المعلم العالمي وحضور
ندوة جدا رائع شكرا لمقدميها
 الدكتورة أحلام العبداللطيف والدكتورة مرفت السبيعي
 بعنوان أدوات الذكاء الاصطناعي التوليدي في التعليم
Ahlam Al Abdullatif 
@AbdullatifAhlam",[],2023-10-06T05:49:48.000Z,https://x.com/Moohmad22/status/1710170472589971592,1,1
"هذا العقد

الذكاء الاصطناعي هو تقنيّة (مُتعددة الاستعمالات-General Purpose) مثل الكهرباء التي نرى تطبيقاتها في شؤون شتّى.

ومن أدواته التي ستلعب دورًا في هذه السنوات العشر:
1. التعليم المُوجّه - Supervised Learning
2. الذكاء الاصطناعي التوليدي - Generative AI",[],2023-10-05T14:35:10.000Z,https://x.com/sarownsa/status/1709940298523267553,0,0
"ورشة تدريبية لمعلمات المدرسة حول الذكاء الاصطناعي التوليدي ، وتوظيف بعض أدواته في التعليم ... 
#فعاليات_تعليمية_جنوب_الباطنة",['#فعاليات_تعليمية_جنوب_الباطنة'],2023-09-19T19:19:06.000Z,https://x.com/alshaibahschool/status/1704213544219160816,6,0
