tweet,hashtags,timestamp,full_url,like_count,retweet_count
"تحريك الصور وتحويلها 
الى فيديو بالذكاء الصناعي 
وبخطوة واحدة
و بدون اشتراك

رابط المنصة :
https://2u.pw/Uu1NG3E

#تصميم_قصص_مصورة_متحركة
#تحريك_الصور","['#تصميم_قصص_مصورة_متحركة', '#تحريك_الصور', '']",2023-12-29T20:46:42.000Z,https://x.com/sehman7/status/1740836764028477820,0,0
"عند برمجة الروبوت الافتراضي ثم نقل الأوامر البرمجية لروبوت واقعي راح يؤدي نفس مهام الروبوت الافتراضي

#وزارة_التعليم #ذكاء_اصطناعي #المدرسة #الطلاب #الاطفال","['#وزارة_التعليم', '#ذكاء_اصطناعي', '#المدرسة', '#الطلاب', '#الاطفال']",2023-12-29T13:34:47.000Z,https://x.com/waleedwaaw/status/1740728067335524680,1,0
انت لو  و سايقينك بالخلاء … ما تحاول تصر علي ان صح و باقي الناس كذابين .. عشان لمن نثبت ليك بالأدلة ما تشبكنا #ذكاء_اصطناعي,['#ذكاء_اصطناعي'],2023-12-29T15:25:30.000Z,https://x.com/dahd_ouh/status/1740755931779264679,0,0
"صوفيا لورين
#ذكاء_اصطناعي #midjourney","['#ذكاء_اصطناعي', '#midjourney']",2023-12-29T17:48:02.000Z,https://x.com/abdulaziz_rabea/status/1740791802490413425,5,0
"خبير #ذكاء_اصطناعي يحذر: ""لا تخبروا ChatGPT بأسراركم""
https://hadathonline.com/?p=227281",['#ذكاء_اصطناعي'],2023-12-28T17:08:11.000Z,https://x.com/Hadath_online/status/1740419385448370632,0,0
"اليوم تم الانتهاء من كورس تعلم الآلة (Machine learning )المقدم من سدايا 
@SDAIA_SA
  بالتعاون مع جامعة الباحة. كانت رحلة تعلم ملهمة ومثيرة، حيث تعلمت أساسيات وتطبيقات الذكاء الاصطناعي و تعلم الآلة. أشكر سدايا وجامعة الباحة على هذه الفرصة القيمة #تعلم_الآلة #ذكاء_اصطناعي","['#تعلم_الآلة', '#ذكاء_اصطناعي']",2023-12-28T16:21:42.000Z,https://x.com/WaleedMahjari/status/1740407686091677818,11,0
"قراءة الأفكار لم تعد مهمة مستحيلة.. علماء يبتكرون نظام #ذكاء_اصطناعي يمكنه تحويل الأفكار إلى نصوص.. إليك التفاصيل.
#التطور_التكنولوجي 
#الصحة","['#ذكاء_اصطناعي', '#التطور_التكنولوجي', '#الصحة']",2023-12-28T13:00:00.000Z,https://x.com/AlArabiya_shows/status/1740356928365040083,1,1
"«روبوت» يهاجم مهندساً في أحد مصانع شركة تيسلا بالولايات المتحدة، غارساً مخالبه المعدنية في ظهر العامل وذراعه، مخلفاً جرحاً في ذراعه وسيلاً من الدماء على أرض المصنع.
#تسلا #ذكاء_اصطناعي 
#ابو_عبيدة #StormGerrit 
#دوري_ابطال_اسيا","['#تسلا', '#ذكاء_اصطناعي', '#ابو_عبيدة', '#StormGerrit', '#دوري_ابطال_اسيا']",2023-12-28T09:04:49.000Z,https://x.com/SamiTech101/status/1740297742201782527,1,1
"نفسي بس افهم مشاكل السودان  كلها بقي في صورة #حميدتي حقيقية ولا تركيب او  #ذكاء_اصطناعي  يا عالم رئيس دولة بي حالها غرد انو لاقي الزول دا … 
#ميت و لا #حي دا ما المشكلة … المهم بس دايرين حل لوقف الحرب في السودان  باي طريقة لانو الظاهر #الجغم_و_البل ما فيها نتيجة … و","['#حميدتي', '#ذكاء_اصطناعي', '#ميت', '#حي', '#الجغم_و_البل']",2023-12-28T08:02:28.000Z,https://x.com/Gadet3/status/1740282051960492485,108,24
"#مايكروسوفت تطلق تطبيقها الخاص بالذكاء الاصطناعي لمستخدمي ""أندرويد""
التطبيق متواجد باسم ""Copilot"" في متجر ""غوغل بلاي""
#ذكاء_اصطناعي 
#asgariuecret 
#زد_رصـيدك19","['#مايكروسوفت', '#ذكاء_اصطناعي', '#asgariuecret', '#زد_رصـيدك19']",2023-12-28T04:37:06.000Z,https://x.com/SamiTech101/status/1740230367590912352,0,1
قحاتي ولا دعامي لسان حاله يقول #ذكاء_اصطناعي,['#ذكاء_اصطناعي'],2023-12-27T15:14:59.000Z,https://x.com/Ayman20221987/status/1740028510775677303,0,0
"#روبوت #google #bard #ذكاء_اصطناعي #مكفوفين https://youtu.be/znxQnxZrkhY?si=TRjiaTjDwGmVM4BY… via 
@YouTube","['#روبوت', '#google', '#bard', '#ذكاء_اصطناعي', '#مكفوفين']",2023-12-27T14:49:39.000Z,https://x.com/ImanRammal/status/1740022135777841377,0,0
"الاستمرار في تنفيذ العديد من مشاريع البرمجة يعلم الأطفال التفكير المنطقي وتفكيك المشكلات المعقدة إلى خطوات صغيرة يسهل حلها.. 

#وزارة_التعليم #ذكاء_اصطناعي #المدرسة #الطلاب #الاطفال","['#وزارة_التعليم', '#ذكاء_اصطناعي', '#المدرسة', '#الطلاب', '#الاطفال']",2023-12-27T13:34:26.000Z,https://x.com/waleedwaaw/status/1740003207097495628,1,0
"اكتشف سحر ترجمة جوجل بالذكاء الاصطناعي!  مقال جديد يكشف النقاب عن طريقة عمل الترجمة المدهشة عبر جوجل والذكاء الاصطناعي. 

 اقرأ المقال كاملاً هنا: https://ask2learn.net/google-translate-with-artificial-intelligence/…

#ترجمة_جوجل #ذكاء_اصطناعي #حواجز_لغوية #ابتكار #اسأل_لتتعلم","['#ترجمة_جوجل', '#ذكاء_اصطناعي', '#حواجز_لغوية', '#ابتكار', '#اسأل_لتتعلم']",2023-12-27T09:26:30.000Z,https://x.com/ask2learn11/status/1739940810316038572,1,0
"خدمة الذكاء الاصطناعي في منزلك توفر الكثير من الوقت والجهد اللي ممكن تضيّعه في البحث عن تصاميم أنيقة وعصرية لأي مساحة في منزلك.

#ذكاء_اصطناعي #منزلك #سعودية #رياض","['#ذكاء_اصطناعي', '#منزلك', '#سعودية', '#رياض']",2023-12-27T07:51:46.000Z,https://x.com/manzilik/status/1739916972375097824,0,0
